年度,NGSHACG_N,NGBACG_N,NDEPACG_N,NLBDACG_N,NEQUACG_N,NPENACG_N,NNFWACG_N,NGSHACG_CB,NGBACG_CB,NDEPACG_CB,NLBDACG_CB,NEQUACG_CB,NPENACG_CB,NNFWACG_CB,NGSHACG_F,NGBACG_F,NDEPACG_F,NLBDACG_F,NEQUACG_F,NPENACG_F,NNFWACG_F,NGSHACG_G,NGBACG_G,NDEPACG_G,NLBDACG_G,NEQUACG_G,NPENACG_G,NNFWACG_G,NGSHACG_H,NGBACG_H,NDEPACG_H,NLBDACG_H,NEQUACG_H,NPENACG_H,NNFWACG_H,NGSHACG_W,NGBACG_W,NDEPACG_W,NLBDACG_W,NEQUACG_W,NPENACG_W,NNFWACG_W
2008,-0.0,-8.3,0.7,-14425.9,131243.6,-14559.9,-102250.2,-62.5,-169.9,-0.2,-181.6,-694.3,0.0,1108.5,-0.0,4122.2,-164.7,-39561.1,-4423.7,16273.4,23753.9,-21.3,-339.4,-89.4,-9620.7,-13533.3,0.0,23604.1,0.0,-17.7,-0.0,-3221.5,-52165.2,-1713.5,57117.9,18.4,-3586.9,253.6,67010.8,-60427.1,0.0,-3268.8
2009,0.0,56.8,-243.2,10409.5,-63392.1,5502.7,47666.3,327.4,194.3,-4.7,-291.6,399.3,0.0,-624.7,0.0,-848.5,456.1,15760.4,866.2,-9768.1,-6466.1,7.9,523.1,-469.2,-619.9,11450.8,0.0,-10892.7,-0.0,-55.0,0.0,952.1,27511.3,4265.4,-32673.8,7.7,129.3,261.0,-26210.5,23164.5,0.0,2648.0
2010,-0.0,44.4,0.1,-5303.8,8863.2,-1016.4,-2587.5,356.2,225.2,-8.9,-538.9,-253.2,0.0,219.6,-0.0,1608.6,-30.9,-12048.0,-1811.7,2780.2,9501.8,3.2,-1856.1,-257.1,-10255.3,375.4,0.0,11989.9,0.0,-40.4,0.0,147.9,1980.4,-1763.8,-324.1,13.7,18.3,296.8,27998.1,-9154.1,0.0,-19172.8
2011,0.0,234.9,-0.8,3077.9,-2490.6,-2010.0,1188.6,408.6,621.2,-1.8,69.2,35.1,0.0,-1132.3,0.0,6947.5,-165.4,595.0,822.9,334.2,-8534.2,21.9,-7867.6,3.5,1510.2,1628.1,0.0,4703.9,-0.0,27.8,-0.0,32.0,599.3,1675.8,-2334.9,-2.5,36.2,164.5,-5284.3,-594.8,0.0,5680.9
2012,209.6,559.9,0.5,1343.6,-64586.4,2749.9,59722.9,321.6,1121.6,108.6,563.6,826.5,0.0,-2941.9,0.0,11400.3,-86.4,24022.6,-7696.9,-12221.9,-15417.7,24.8,-13127.4,184.6,19795.3,11583.8,0.0,-18461.1,-209.6,38.9,-0.0,3048.2,33957.3,9472.0,-46306.8,-9.5,6.7,-207.3,-48773.3,25915.7,0.0,23067.7
2013,-0.0,-91.1,-0.3,-1010.9,-60148.1,7374.3,53876.1,-405.5,1572.6,85.1,352.7,733.7,0.0,-2338.6,-0.0,-2879.4,-132.8,6092.1,4042.3,-9946.6,2824.4,-3.2,3581.5,234.8,16931.4,11479.8,0.0,-32224.3,0.0,-56.4,0.0,868.7,23020.9,2572.3,-26405.5,-16.3,-2127.2,-186.8,-23234.0,20871.4,0.0,4692.9
2014,0.0,225.6,-0.8,12738.3,-94361.2,-4927.9,86326.0,226.0,3789.4,99.0,594.6,2123.8,0.0,-6832.8,0.0,9400.6,-346.5,9965.4,4391.6,-10543.8,-12867.3,16.0,-13414.9,292.0,23830.9,10396.2,0.0,-21120.2,-0.0,4.7,-0.0,877.9,35080.7,15471.7,-51435.0,-4.2,-5.4,-43.7,-48007.1,42368.9,0.0,5691.5
2015,-0.0,568.3,0.1,-5526.3,42697.0,-4743.5,-32995.6,-84.0,12599.5,-66.0,-263.7,-1575.1,0.0,-10610.7,0.0,21369.0,198.5,-15675.4,7810.9,7184.9,-20887.9,-11.0,-34258.5,-988.0,-14913.9,-11086.0,0.0,61257.4,0.0,16.3,-0.0,-1657.5,-8310.2,-2441.4,12392.8,6.2,-294.6,855.4,38036.8,-29536.6,0.0,-9067.2
2016,-0.0,-586.1,-0.0,-7869.9,-45520.4,2006.2,51970.2,2.3,-2574.1,20.2,-186.5,1812.6,0.0,925.5,0.0,-8700.8,-38.0,-6658.3,-2031.3,2816.5,14611.9,7.1,14230.2,-131.0,-229.1,6827.9,0.0,-20705.1,0.0,-61.2,0.0,589.5,15417.9,-4822.7,-11123.5,-7.1,-2308.0,148.8,14354.3,23493.3,0.0,-35681.3
2017,0.0,-118.8,0.0,-9041.5,-90733.2,1455.6,98437.9,33.0,1782.8,-53.9,-122.2,2672.5,0.0,-4312.2,0.0,-339.3,120.3,49.2,11898.8,-748.4,-10980.6,5.0,-1083.3,-610.2,393.2,7405.0,0.0,-6109.7,-0.0,-15.8,0.0,-337.5,42403.2,-707.2,-41342.7,-3.4,-225.6,543.8,9058.8,26353.7,0.0,-35727.3
2018,0.0,66.2,-2.0,-6292.8,44993.0,-1340.3,-37424.1,67.3,6074.6,54.1,99.0,-1317.0,0.0,-4978.0,-0.0,-159.8,-89.5,9285.3,4295.4,254.6,-13586.0,3.1,-9990.9,518.2,10095.3,-2824.2,0.0,2198.5,0.0,-6.2,0.0,-625.7,-29175.7,1085.7,28721.9,0.6,4016.1,-480.8,-12561.1,-15971.5,0.0,24996.7
2019,-0.0,-139.7,-1.9,-3746.9,80941.5,-3154.7,-73898.3,728.1,-1649.0,-39.8,41.8,-3820.0,0.0,4738.9,-0.0,-5731.6,25.2,-28749.1,3707.7,5222.3,25525.5,24.3,5733.8,-342.7,-2063.0,-7979.1,0.0,4626.7,0.0,-19.0,-0.0,-1951.4,-47470.9,-2067.6,51508.9,9.7,1805.5,359.2,36468.6,-25379.2,0.0,-13263.8
2020,0.0,-282.3,-2.1,5915.4,-199504.3,4719.1,189154.2,300.6,-4106.7,104.3,15.0,15855.7,0.0,-12168.9,0.0,-7079.9,-79.0,30996.1,2942.6,-16382.4,-10397.4,516.4,14544.6,325.9,32428.1,20486.1,0.0,-68301.1,-0.0,-17.2,0.0,4842.7,77707.8,11663.3,-94196.6,-15.2,-3058.5,-349.1,-74197.3,82512.1,0.0,-4892.0
2021,-0.0,-242.5,-1.3,11132.0,1661.7,2489.2,-15039.1,1149.6,-5941.6,267.1,81.1,-719.9,0.0,5163.7,0.0,-11021.1,-155.0,-10375.6,-4360.7,-6595.0,32507.4,214.1,16682.9,937.5,20697.1,-1266.2,0.0,-37265.4,-0.0,-14.6,0.0,2315.3,14817.0,4105.8,-21223.5,-31.6,536.9,-1048.3,-23849.9,-10131.9,0.0,34524.8
2022,-0.0,-201.8,2.0,14768.2,-15327.5,-987.4,1746.5,641.8,-5610.7,301.4,100.5,1269.6,0.0,3297.4,-0.0,-22225.7,-110.8,-15027.1,-1258.6,246.0,38376.2,137.7,20565.1,1339.7,8090.1,6487.0,0.0,-36619.6,0.0,-8.1,-0.0,-1458.6,7724.2,741.4,-6998.9,-36.6,7481.2,-1532.3,-6473.1,1105.3,0.0,-544.5
2023,0.0,-305.0,-0.1,6856.2,-191372.8,7554.6,177267.1,1681.1,-10739.0,404.7,544.0,21623.8,0.0,-13514.6,0.0,-16117.0,-125.6,44113.4,-26323.9,-19700.8,18153.9,292.2,27795.6,2314.6,55864.5,29844.9,0.0,-116111.8,-0.0,-9.5,0.0,9172.6,68966.4,12146.2,-90275.7,-26.7,-625.1,-2593.6,-116550.7,97261.6,0.0,22534.5
