年度,NGSHA_N,NGBA_N,NDEPA_N,NLBDA_N,NEQUA_N,NPENA_N,NNFWA_N,NGSHA_CB,NGBA_CB,NDEPA_CB,NLBDA_CB,NEQUA_CB,NPENA_CB,NNFWA_CB,NGSHA_F,NGBA_F,NDEPA_F,NLBDA_F,NEQUA_F,NPENA_F,NNFWA_F,NGSHA_G,NGBA_G,NDEPA_G,NLBDA_G,NEQUA_G,NPENA_G,NNFWA_G,NGSHA_H,NGBA_H,NDEPA_H,NLBDA_H,NEQUA_H,NPENA_H,NNFWA_H,NGSHA_W,NGBA_W,NDEPA_W,NLBDA_W,NEQUA_W,NPENA_W,NNFWA_W
2007,-655.6,2197.6,-2471.9,4900.2,-646.8,1949.4,-5272.9,-1158.3,-8789.1,57.6,10856.5,-624.7,0.0,-342.0,3081.8,-532.1,7415.5,9891.4,-7677.2,172.3,-12351.7,-2016.2,-9611.3,-864.8,1400.6,123.2,0.0,10968.5,758.2,2201.3,7083.6,502.0,8530.5,-2121.7,-16953.9,-9.9,14533.6,-11220.0,-27550.7,295.0,0.0,23952.0
2008,-634.1,-937.0,3705.0,6221.7,856.0,1465.2,-10676.8,-7198.2,-3005.9,27.9,10384.7,-209.2,0.0,0.7,7901.4,19193.7,-18798.9,-11552.5,12804.1,4039.8,-13587.6,-1124.3,-15132.2,-897.8,-3195.1,-7237.6,0.0,27587.0,1061.6,-336.5,10321.7,7892.6,83.5,-5505.0,-13517.9,-6.4,217.9,5642.1,-9751.4,-6296.8,0.0,10194.6
2009,-942.7,3549.8,6629.6,22512.7,-1802.9,1349.4,-31295.9,-2381.2,8714.3,5.3,-6268.8,274.1,0.0,-343.7,926.0,50262.3,-16596.8,-15197.9,-2505.7,-945.2,-15942.7,646.2,-52014.7,-98.0,10717.5,-4794.3,0.0,45543.3,1752.6,-1522.1,10596.3,3574.9,230.0,-404.2,-14227.5,-0.9,-8989.6,-536.4,-15338.4,8598.8,0.0,16266.5
2010,-66.5,954.1,11990.5,18988.5,-702.0,1523.1,-32687.7,-20211.3,4196.9,81.2,15869.8,286.2,0.0,-222.8,18580.4,21718.1,-20913.3,-6992.9,-1611.6,-6501.0,-4279.7,-656.2,-38952.9,-2069.1,4989.9,-4312.3,0.0,41000.6,2356.7,-3323.5,11166.2,3854.8,2560.0,4977.9,-21592.1,-3.1,15407.3,-255.5,-36710.1,3779.7,0.0,17781.7
2011,53.3,32.4,6097.5,10175.8,2324.2,1903.1,-20586.3,6927.6,9883.8,-92.6,-17015.9,696.1,0.0,-399.0,-7991.4,38874.4,-30841.9,13758.0,634.9,-4016.0,-10418.0,-594.8,-59202.3,4115.2,13919.9,645.3,0.0,41116.7,1533.8,-3809.8,17888.2,3655.9,-3219.7,2112.9,-18161.3,71.5,14221.5,2833.6,-24493.7,-1080.8,0.0,8447.9
2012,388.2,-1288.0,10305.0,12046.4,-739.0,1956.6,-22669.2,-25925.1,37809.0,772.5,-13823.2,641.3,0.0,525.5,23677.2,-4647.1,-30722.9,24192.3,-2907.5,-6527.8,-3064.2,-330.1,-33676.8,4404.2,-4854.6,-2281.4,0.0,36738.7,2201.0,-3905.4,13590.3,-847.5,-200.3,4571.2,-15409.3,-11.2,5708.3,1650.9,-16713.4,5486.9,0.0,3878.5
2013,10.4,1605.6,8503.3,18370.5,-4543.9,1948.5,-25894.4,-74028.2,71606.5,-260.0,33.9,1328.6,0.0,1319.2,71417.0,-39153.7,-26251.8,6603.4,-6633.2,-1826.2,-4155.5,197.8,-32674.7,1173.3,-561.0,-512.4,0.0,32377.0,2416.3,-2791.3,15692.5,-7955.4,-1784.4,-122.3,-5455.4,-13.3,1407.6,1142.7,-16491.4,12145.3,0.0,1809.1
2014,243.7,-1077.4,14900.4,9839.0,-6689.3,1459.6,-18676.0,-76086.7,69756.8,-182.2,3272.1,1688.9,0.0,1551.1,72878.1,-29737.1,-35168.7,516.9,-8334.4,-4297.7,4142.9,115.8,-49851.6,8175.2,12347.2,5558.0,0.0,23655.4,2848.8,-4235.3,16085.0,2376.5,-807.3,2838.1,-19105.8,0.3,15144.6,-3809.7,-28351.7,8584.1,0.0,8432.4
2015,-77.4,-1789.7,13588.1,5440.2,428.2,1282.7,-18872.1,-96827.4,77209.3,281.8,14190.4,3167.0,0.0,1978.9,74174.5,-63507.2,-27374.1,29966.2,-619.1,-6628.1,-6012.2,16882.6,-20482.7,11100.6,-25241.8,3342.5,0.0,14398.8,5744.9,-3485.0,9434.2,-4899.1,-3052.2,5345.4,-9088.2,102.8,12055.3,-7030.6,-19455.9,-3266.4,0.0,17594.8
2016,-397.8,-2326.5,18340.8,-4847.0,-3109.4,1025.5,-8685.6,-74541.1,65501.5,111.4,1320.5,5112.1,0.0,2495.6,67452.2,-45042.8,-43086.3,36982.1,753.1,-6561.2,-10497.1,3136.0,-25803.7,8414.9,-1.1,1201.1,0.0,13052.8,4515.5,290.5,16691.0,-3581.1,-5657.3,5535.7,-17794.3,-164.8,7381.0,-471.8,-29873.4,1700.4,0.0,21428.6
2017,1468.4,-1109.2,13409.6,7035.1,-1691.9,1031.8,-20143.8,-33110.7,29902.4,144.1,-2829.4,5755.8,0.0,137.8,35553.4,-10566.4,-33450.1,14452.6,240.2,-3697.6,-2532.1,-6628.1,-21558.5,3008.0,16581.7,-1459.8,0.0,10056.7,2712.2,-144.3,17661.2,-8700.0,-4582.3,2665.8,-9612.6,4.8,3476.0,-772.8,-26540.0,1738.0,0.0,22094.0
2018,-821.9,-574.6,5835.4,5332.4,-6504.1,1048.6,-4315.8,-21686.8,20887.1,739.4,-5779.9,5548.5,0.0,291.7,15991.8,-19032.5,-14141.7,27020.1,908.1,-4822.1,-5923.7,2392.3,-20913.4,-6099.7,12801.4,1881.0,0.0,9938.4,4117.5,832.2,14895.8,-1941.0,-2468.5,3773.5,-19209.5,7.1,18801.2,-1229.2,-37433.0,635.0,0.0,19218.9
2019,-391.8,-459.4,8846.8,-767.1,-658.2,1675.2,-8245.5,1375.2,15021.2,-134.9,-21042.0,4682.0,0.0,98.5,2086.8,1250.6,-30110.7,39134.2,-3794.7,-2627.5,-5938.7,-4824.5,-17142.5,2537.7,6272.2,595.8,0.0,12561.3,1815.6,555.9,19198.6,-3459.1,-2376.9,952.3,-16686.4,-61.3,774.2,-337.5,-20138.2,1552.0,0.0,18210.8
2020,-1049.8,-1208.6,48062.3,-32188.0,-1465.9,2687.3,-14837.3,-158086.7,46341.3,1386.1,104751.4,5884.4,0.0,-276.5,127572.0,11391.1,-103996.7,-14879.8,-6594.2,-1973.4,-11519.0,24308.2,-73428.6,6659.4,-8774.0,-576.7,0.0,51811.7,7285.4,-555.9,49814.8,-16341.0,2414.7,-713.9,-41904.1,-29.1,17460.7,-1925.9,-32568.6,337.7,0.0,16725.2
2021,381.4,-481.9,10183.0,5354.0,-4076.9,2386.7,-13746.3,-20537.7,-5107.9,-354.5,26905.0,308.8,0.0,-1213.7,40856.4,31806.8,-45665.4,-6978.8,-12799.5,-57.8,-7161.7,-23701.0,-33924.1,8484.0,9543.6,7644.9,0.0,31952.6,3185.2,-650.5,27555.0,-4125.4,5966.7,-2328.9,-29602.1,-184.3,8357.6,-202.1,-30698.4,2956.0,0.0,19771.2
2022,856.3,1607.8,12898.9,-6921.9,-2231.0,1873.2,-8083.3,9627.1,56627.1,-399.8,-63843.4,9.1,0.0,-2020.1,-14207.6,-29509.6,-33362.3,85469.8,-6585.7,3000.2,-4804.8,2318.1,-30239.6,5904.0,3401.9,-577.7,0.0,19193.3,1162.4,197.8,16334.6,-5467.1,5867.6,-4873.4,-13221.9,243.7,1316.5,-1375.4,-12639.3,3517.7,0.0,8936.8
2023,535.3,-2056.7,17223.6,10012.6,2036.5,2132.6,-29883.9,-11059.3,9405.2,-159.4,4234.4,-356.9,0.0,-2064.0,11473.2,15694.9,-30941.9,9904.8,-5726.0,823.9,-1228.9,-87.7,-18311.6,1817.8,9950.8,-9244.4,0.0,15875.1,-1061.6,739.4,13639.9,-4483.2,3115.2,-2956.5,-8993.2,200.1,-5471.2,-1580.0,-29619.4,10175.6,0.0,26294.9
